SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,15,8,30,N/A,217.47,8.16,-8.76,97160,N/A
2013,1,15,9,30,N/A,214.4,6.97,-8.72,97150,N/A
2013,1,15,10,30,N/A,211.92000000000002,4.74,-7.87,97120,N/A
2013,1,15,11,30,N/A,208.63,5.26,-6.71,97070,N/A
2013,1,15,12,30,N/A,211.91,6.29,-5.65,97020,N/A
2013,1,15,13,30,N/A,213.04,7.54,-5.18,96950,N/A
2013,1,15,14,30,N/A,209.26,7,-4.89,96850,N/A
2013,1,15,15,30,N/A,205.3,7.75,-4.95,96780,N/A
2013,1,15,16,30,N/A,208.86,8.27,-5.14,96750,N/A
2013,1,15,17,30,N/A,201.59,9.55,-5.67,96690,N/A
2013,1,15,18,30,N/A,205.16,10.25,-5.87,96640,N/A
2013,1,15,19,30,N/A,206.23000000000002,10.17,-6.140000000000001,96600,N/A
2013,1,15,20,30,N/A,207.1,10.02,-6.46,96520,N/A
2013,1,15,21,30,N/A,209.35,10.64,-6.63,96430,N/A
2013,1,15,22,30,N/A,208.76,10.17,-6.91,96350,N/A
2013,1,15,23,30,N/A,211.26,11.03,-6.95,96260,N/A
2013,1,16,0,30,N/A,214.86,12.19,-6.99,96160,N/A
2013,1,16,1,30,N/A,213.89000000000001,11.71,-7.37,96090,N/A
